A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,http://www.agilent.com
AAL,American Airlines Group Inc.,Industrials,Airlines,http://www.aa.com
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,http://www.advanceautoparts.com
AAPL,Apple Inc.,Technology,Consumer Electronics,http://www.apple.com
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers—General,http://www.abbvie.com
ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,http://www.amerisourcebergen.com
ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,http://www.abiomed.com
ABT,Abbott Laboratories,Healthcare,Medical Devices,http://www.abbott.com
ACN,Accenture plc,Technology,Information Technology Services,http://www.accenture.com
ADBE,Adobe Inc.,Technology,Software—Infrastructure,http://www.adobe.com
ADI,"Analog Devices, Inc.",Technology,Semiconductors,http://www.analog.com
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,http://www.adm.com
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,http://www.adp.com
ADS,Alliance Data Systems Corporation,Financial Services,Credit Services,http://www.alliancedata.com
ADSK,"Autodesk, Inc.",Technology,Software—Application,http://www.autodesk.com
AEE,Ameren Corporation,Utilities,Utilities—Regulated Electric,http://www.ameren.com
AEP,"American Electric Power Company, Inc.",Utilities,Utilities—Regulated Electric,http://www.aep.com
AES,The AES Corporation,Utilities,Utilities—Diversified,http://www.aes.com
AFL,Aflac Incorporated,Financial Services,Insurance—Life,http://www.aflac.com
AIG,"American International Group, Inc.",Financial Services,Insurance—Diversified,http://www.aig.com
AIV,Apartment Investment and Management Company,Real Estate,REIT—Residential,http://www.aimco.com
AIZ,"Assurant, Inc.",Financial Services,Insurance—Specialty,http://www.assurant.com
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,http://www.ajg.com
AKAM,"Akamai Technologies, Inc.",Technology,Software—Infrastructure,http://www.akamai.com
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,http://www.albemarle.com
ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,http://www.aligntech.com
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,http://www.alaskaair.com
ALL,The Allstate Corporation,Financial Services,Insurance—Property & Casualty,http://www.allstate.com
ALLE,Allegion plc,Industrials,Security & Protection Services,http://www.allegion.com
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,http://www.alexion.com
